"","logFC","logCPM","LR","PValue","FDR"
"SF3A2",0.19567454864814,6.94608444410092,1.68630079667062,0.194089324240758,0.331842410262805
"MTND4P12",-0.297270325923708,3.70660966053146,1.68608817732141,0.194117437198379,0.331843412443045
"ACBD4",0.213945400101714,3.26450276813951,1.68603473310653,0.194124504448699,0.331843412443045
"RWDD3",-0.273990119526868,1.46791578360036,1.68584139035097,0.194150073838509,0.331846576296214
"MT.RNR2",-0.173080943700278,10.7644569323029,1.68575916205032,0.194160949644253,0.331846576296214
"SGK2",0.866588544716239,-2.56351818077744,1.6845252507496,0.194324236704807,0.332096069943142
"CLIP1",-0.193418464426821,4.94454326303515,1.68344847386464,0.194466860949144,0.332310209967875
"NFKBIE",-0.198121639709943,4.7244650701327,1.68201155047451,0.194657379079399,0.332606146921827
"TMEM41B",-0.226619914517673,3.09344370773642,1.68115122940558,0.194771551426718,0.332657285142438
"GK3P",0.956287723990248,-2.73705048294699,1.68109388479005,0.194779164357804,0.332657285142438
"CXorf67",0.999613956926561,-2.80951666295295,1.68096979480416,0.194795639433004,0.332657285142438
"VGF",1.25823943150207,-3.14335057880722,1.68092942741709,0.194800999247846,0.332657285142438
"ZBTB20.AS1",1.25823943150207,-3.14335057880722,1.68092942741709,0.194800999247846,0.332657285142438
"USP30.AS1",0.25592834146421,1.10390181819053,1.68082511151096,0.194814850681855,0.332657285142438
"PSKH1",0.204391859141407,3.91577094607798,1.68072674826005,0.194827912756879,0.332657285142438
"RP11.47L3.1",0.255738673614752,1.30241331675237,1.68072386999233,0.19482829498974,0.332657285142438
"UBE2F.SCLY",-1.304363783142,-3.21800401189697,1.68061041335687,0.194843362686765,0.332657285142438
"IL6R",0.997880828764767,-2.80710688748342,1.68036870119449,0.194875468005841,0.332682492764909
"RP11.293M10.6",1.34721074102469,-3.22903548552917,1.68023136330167,0.194893712612804,0.332684035632764
"CCT6P2",0.595752920834272,-1.80651916899043,1.67981669308684,0.194948811468705,0.33274848292056
"GRK4",-0.279432967900478,0.568817671913884,1.67962037811287,0.19497490296527,0.332763411919644
"ZNF282",-0.188130377264251,5.31925515632471,1.67929575185831,0.19501805680469,0.332807455950719
"WDR13",0.194959207774356,4.25028058520257,1.67897157706212,0.195061161783609,0.332851408771551
"PLEKHA5",0.440680115135176,-1.02305501372574,1.67813847510557,0.195171989107441,0.333010904573663
"NCF1",0.664889542455042,-2.03448688105998,1.67736163011876,0.195275398983283,0.333157717162675
"AP3S2",0.22024216390325,2.9587034186294,1.67667572281064,0.19536675698143,0.333283943863484
"RP11.685B14.1",1.34169241970651,-3.22578926753714,1.67614145112041,0.195437952850362,0.333355175613211
"KRT8",0.996786089637707,-2.808150497662,1.67610160582718,0.195443263763221,0.333355175613211
"IAH1",-0.178108418336047,5.35412391306416,1.67510003561338,0.195576816903326,0.333553314275963
"ZNF713",-0.49389940494809,-1.35569083620419,1.67490390161243,0.195602982656304,0.333568286423217
"MAPK7",0.20852347796004,2.86479528406238,1.67394987962308,0.195730314840761,0.333755763062838
"HERC2P3",-0.300697080093905,0.359264759286263,1.67327603319901,0.195820310808216,0.333879547001033
"RP11.1012A1.7",1.25574014364239,-3.14434181241038,1.67298438685326,0.195859276835204,0.333895668244395
"CLDND2",0.285717970536001,0.748184878756523,1.67294474546314,0.195864573907866,0.333895668244395
"ALS2CL",0.482818734731673,-1.18393691738624,1.67105517238065,0.196117262422848,0.334296728527973
"TMTC2",0.263297079692199,0.990256236952835,1.6707073450452,0.196163818215818,0.33434637992808
"RP11.16F15.2",0.992235908973261,-2.80289730539845,1.67055007071249,0.196184873229736,0.334352562220173
"CMTM1",-0.430457511300056,-0.880819200650873,1.67028055153925,0.196220961114355,0.334377761812185
"ATRAID",-0.17701896223191,5.59442040814279,1.67017932109269,0.196234517604555,0.334377761812185
"SLC44A4",-1.19066224707712,-3.10384137136945,1.6698266680211,0.196281752457861,0.334428545373363
"RP11.333J10.3",0.957739038705029,-2.73333650918091,1.66967259298809,0.196302393666909,0.334434013187075
"GHRLOS",-0.260576294012186,1.15402282605172,1.66634088204568,0.196749360794985,0.335165733160343
"SPN",0.168780666215361,7.85964492377116,1.66524075362624,0.196897210804107,0.335387817568747
"TXNL4B",-0.191328345935049,4.00723271425443,1.66483924570901,0.196951203250292,0.335450003050147
"RP5.1092A3.4",0.439934021200928,-0.964921138247934,1.66327934812717,0.197161133925584,0.335765259524314
"RP4.639F20.1",0.937143328130041,-2.69444361985028,1.66320384914551,0.197171301214539,0.335765259524314
