"","logFC","logCPM","LR","PValue","FDR"
"RP11.348F1.2",-0.423159571069368,-3.23969070794186,0.170811707110386,0.679391423201257,0.784019734288394
"PTOV1.AS1",-0.388705468888545,-3.12763426653464,0.170804933948166,0.679397426037228,0.784019734288394
"RP11.1148O4.1",0.272879420120365,-2.55117680252487,0.170804429319471,0.679397873278998,0.784019734288394
"IPCEF1",0.0586971382065249,3.0513622857063,0.170734120693985,0.679460193894201,0.784042088466412
"CTB.171A8.1",0.417889748972342,-3.22200281702625,0.170566274504932,0.679609031250829,0.78416426682788
"TUBB8P3",0.345787840904432,-2.95559219771323,0.170498874296114,0.679668822407922,0.784183690624234
"SPEF2",0.0844277413210096,0.785148120559284,0.170409685329475,0.679747963779114,0.78422543631345
"SCAND2P",-0.0700388949684817,1.6011572612146,0.17021088125105,0.679924458830248,0.784332310081541
"NDNL2",0.0530738741193527,4.20035415729343,0.170208548974291,0.679926530103554,0.784332310081541
"FKBP11",-0.0460609192927162,5.6130990252207,0.17010480864508,0.680018677727204,0.784356024628251
"SRSF12",-0.364109073773072,-3.03783395931961,0.170088664021657,0.68003302118824,0.784356024628251
"MICU1",0.0481483516922878,4.78990238547465,0.169894074379381,0.680205964277596,0.784505931127592
"TUSC2",0.0491179502909686,4.55707275450586,0.169727177064323,0.68035438792184,0.784587960765164
"RP11.423P10.2",-0.244246902854791,-2.34530124223781,0.169714053095626,0.680366062833148,0.784587960765164
"KDM8",-0.0568992473030806,3.1884337771513,0.16960461601862,0.680463437194195,0.784587960765164
"BMS1P5",0.202482908737786,-1.93862726812118,0.169576117995476,0.680488800048725,0.784587960765164
"AC079807.2",0.343800436207247,-2.95096136986736,0.169572539750018,0.680491984814837,0.784587960765164
"FGF17",0.341179959024961,-2.93991724726535,0.169369470959132,0.680672787720831,0.784746857385611
"SENP3.EIF4A1",-0.140521075423731,-1.08578457565682,0.169248325941494,0.680780709918101,0.784821715159769
"IRX3",-0.394238721368404,-3.15405985024636,0.169065304050048,0.680943840895243,0.784910640622761
